followers,followees,numberOfPosts,imagePorcentage,sidecarPorcentage,videoPorcentage,isBusiness,isProfessional,hasLink,hideLikes,avgLikes,varLikes,avgComments,varComments,avgScore,varScore,avgTechScore,varTechScore,avgPhotosInSidecar,varPhotosInSidecar,avgTaggedUsers,varTaggedUsers,avgHeight,varHeight,avgWidth,varWidth,useLocation,isAccesible,cLength,cSubjectivity,cPolarity,cDifficultWords,cSecondsToRead,cEntropy,captionLength,captionSubjectivity,captionPolarity,captionDifficultWords,captionSecondsToRead,captionEntropy,captionAvgHashtags,captionVarHashtags,Photographer
342,300,375,0.0,100.0,0.0,False,True,True,False,18.8,12.893,2.133,3.716,5.137,0.178,5.343,0.285,3,0.622,4.933,0.996,1204.733,84284.796,1080.0,84284.796,True,False,31.922,0,0,1.781,1.349,3.851,388.967,0,0,19.1,16.493,4.774,19.0,0.0,True
932,0,179,96.77,0.0,3.23,True,True,False,False,17.367,63.499,2.633,33.499,5.294,0.087,6.18,0.043,0,0,0.033,0.032,1289.767,24978.646,1080.0,24978.646,False,True,48.722,0,0,3.203,2.042,4.125,365.933,1,0,26.167,15.184,4.38,29.167,20.139,True
1511,4919,1953,83.33,16.67,0.0,True,True,False,False,16.967,39.699,0.967,1.299,5.342,0.186,5.298,0.432,2,0.64,0.133,0.182,960.633,80281.899,1080.0,80281.899,True,True,41.793,0,0,2.0,1.696,4.103,218.6,0,0,9.867,9.083,4.362,12.533,7.449,True
7726,750,1624,100.0,0.0,0.0,False,False,False,False,971.567,29067.446,16.867,52.382,5.239,0.065,4.984,0.272,0,0,0.0,0.0,1080.233,1.579,1080.0,1.579,True,True,37.277,0,0,1.339,1.619,3.777,539.333,0,0,29.767,23.036,4.621,27.767,5.712,False
336,178,83,93.33,6.67,0.0,False,True,False,False,52.8,968.093,2.9,14.557,5.59,0.148,4.788,0.13,2,0.0,0.333,1.289,1109.3,57980.477,1080.0,57980.477,False,True,44.153,0,0,1.847,1.768,3.855,460.0,0,0,16.2,18.484,4.432,19.0,10.2,False
1146,222,19,84.21,15.79,0.0,False,True,False,False,48.632,93.601,6.211,16.271,5.158,0.144,5.843,0.096,3,2.0,0.263,0.299,1036.684,32529.795,1080.0,32529.795,False,True,24.271,0,0,1.466,1.069,3.621,36.0,0,0,2.263,1.508,3.531,0.579,3.086,False
72,83,48,36.11,47.22,16.67,False,True,False,False,25.433,35.846,1.933,1.929,5.053,0.171,4.998,0.252,3,0.602,0.033,0.032,868.567,102815.779,1080.0,102815.779,True,True,34.052,0,0,1.793,1.43,4.108,186.767,0,0,8.7,7.785,4.258,10.0,8.533,True
106,214,427,46.67,53.33,0.0,False,False,True,False,32.867,54.916,1.233,2.046,5.285,0.188,5.171,0.179,3,0.715,0.0,0.0,1067.967,4199.232,1080.0,4199.232,True,True,57.371,0,0,2.371,2.337,3.997,117.233,0,0,5.367,4.916,4.373,5.967,2.166,False
15,129,23,91.3,8.7,0.0,False,False,True,False,3.913,3.558,0.174,0.231,5.303,0.185,4.993,0.347,4,4.0,0.0,0.0,1058.348,114954.922,1080.0,114954.922,False,True,33.25,0,0,2.25,1.425,4.307,454.478,1,1,19.565,18.554,4.701,21.391,30.76,False
1475,126,113,63.64,27.27,9.09,False,True,False,True,41.5,171.65,1.033,1.832,4.957,0.201,5.129,0.247,4,6.0,17.967,3.232,1050.7,47685.677,1080.0,47685.677,False,True,35.0,0,0,1.742,1.457,3.748,396.9,0,0,24.7,16.913,4.493,30.0,0.0,True
298,811,502,36.67,63.33,0.0,True,True,True,False,48.233,737.912,1.654,4.457,5.333,0.149,4.925,0.366,5,9.075,3.8,2.627,1030.633,89705.099,1080.0,89705.099,True,True,28.977,0,0,1.698,1.221,4.052,347.4,0,0,18.033,14.64,4.414,23.733,22.329,True
